TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20000111,3.972,1.0,142.763,73.035,0.0,263.484,0.0,2.306,1.0,99.748,0.0,0.0,1.0,1.885,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,6.841,1.0,-9999,1.0,63.9051,0.0,-9999,-9999,-9999,-9999,61.4553,0.0,-9999,-9999,-9999,-9999,-0.965893,0.0,-9999,-1.06122,-1.02196,-1.00913,0.0,0.0,0.0,1.41492,1.37339,1.41158,1.47965,2.44182,2.41185,2.44182,2.48878,1.93652,1.52866,1.93652,3.59917,1.70819,1.70819,1.76476,2.55253,-9999,-9999
20000112,2.291,1.0,143.967,81.994,0.0,251.779,0.0,1.279,1.0,99.435,0.0,0.0,1.0,0.886,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,6.215,1.0,-9999,1.0,64.6753,0.0,-9999,-9999,-9999,-9999,58.9573,0.0,-9999,-9999,-9999,-9999,-0.810859,0.0,-9999,-0.892233,-0.865045,-0.85579,0.0,0.0,0.0,1.21619,1.17586,1.21226,1.2794,2.08275,2.04465,2.0711,2.16142,1.86942,1.47569,1.86942,3.47446,1.84625,1.84625,1.90649,2.6961,-9999,-9999
20000113,1.1,1.0,145.228,62.192,0.0,263.802,0.0,1.2,1.0,98.76,0.0,2.0,1.0,1.12,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,5.49,1.0,-9999,1.0,68.4841,0.0,-9999,-9999,-9999,-9999,60.9979,0.0,-9999,-9999,-9999,-9999,-1.07936,0.0,-9999,-1.07936,-1.07936,-1.07936,0.0,0.0,0.0,1.09922,1.06059,1.09431,1.16,2.17858,2.13995,2.17367,2.23936,1.81884,1.43576,1.81884,3.38045,1.5363,1.5363,1.58833,2.38063,-9999,-9999
20000114,4.434,1.0,146.545,57.733,0.0,298.779,0.0,0.619,1.0,98.36,0.0,9.6,1.0,1.529,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.894,1.0,-9999,1.0,63.9051,0.0,-9999,-9999,-9999,-9999,61.4553,0.0,-9999,-9999,-9999,-9999,-0.965893,0.0,-9999,-1.06122,-1.02196,-1.00913,0.0,0.0,0.0,1.46135,1.41907,1.45796,1.52714,2.48825,2.45709,2.48825,2.53628,1.95587,1.54393,1.95587,3.63515,1.44454,1.44454,1.49373,2.25964,-9999,-9999
20000115,6.821,1.0,147.918,60.074,0.0,294.12,0.0,2.556,1.0,98.84,0.0,0.2,1.0,1.683,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,6.563,1.0,-9999,1.0,64.6753,0.0,-9999,-9999,-9999,-9999,58.9573,0.0,-9999,-9999,-9999,-9999,-0.810859,0.0,-9999,-0.892233,-0.865045,-0.85579,0.0,0.0,0.0,1.79313,1.74935,1.78979,1.85752,2.65969,2.61861,2.64897,2.73941,2.04522,1.61446,2.04522,3.8012,1.48073,1.48073,1.53084,2.29312,-9999,-9999
20000116,2.351,1.0,149.345,90.54,0.0,236.585,0.0,1.731,1.0,99.104,0.0,0.0,1.0,2.969,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,6.332,1.0,-9999,1.0,68.4841,0.0,-9999,-9999,-9999,-9999,60.9979,0.0,-9999,-9999,-9999,-9999,-1.07936,0.0,-9999,-1.07936,-1.07936,-1.07936,0.0,0.0,0.0,1.219,1.17845,1.21499,1.28254,2.29837,2.25782,2.29435,2.36191,1.87232,1.47798,1.87232,3.47985,1.97834,1.97834,2.04216,2.83965,-9999,-9999
20000117,2.432,1.0,150.828,88.243,0.0,244.931,0.0,2.727,1.0,99.219,0.0,0.0,1.0,3.861,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,5.334,1.0,-9999,1.0,63.9051,0.0,-9999,-9999,-9999,-9999,61.4553,0.0,-9999,-9999,-9999,-9999,-0.965893,0.0,-9999,-1.06122,-1.02196,-1.00913,0.0,0.0,0.0,1.27081,1.23191,1.26768,1.33175,2.29772,2.26984,2.29784,2.34088,1.87036,1.47643,1.87036,3.47621,1.94462,1.94462,2.00756,2.80522,-9999,-9999
20000118,8.811,1.0,152.364,88.617,0.0,254.246,0.0,6.716,1.0,98.693,0.0,0.0,1.0,5.69,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,5.762,1.0,-9999,1.0,64.6753,0.0,-9999,-9999,-9999,-9999,58.9573,0.0,-9999,-9999,-9999,-9999,-0.810859,0.0,-9999,-0.892233,-0.865045,-0.85579,0.0,0.0,0.0,2.10963,2.05638,2.09993,2.16923,2.97619,2.936,2.96232,3.05197,2.11511,1.66963,2.11511,3.9311,1.95257,1.95257,2.01576,2.81625,-9999,-9999
20000119,6.748,1.0,153.955,93.273,0.0,236.439,0.0,6.267,1.0,98.775,0.0,0.0,1.0,4.941,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,6.482,1.0,-9999,1.0,68.4841,0.0,-9999,-9999,-9999,-9999,60.9979,0.0,-9999,-9999,-9999,-9999,-1.07936,0.0,-9999,-1.07936,-1.07936,-1.07936,0.0,0.0,0.0,1.78791,1.74423,1.78459,1.85195,2.86727,2.82583,2.86395,2.93132,2.04188,1.61183,2.04188,3.795,2.02019,2.02019,2.08514,2.88588,-9999,-9999
20000120,3.067,1.0,155.598,93.806,0.0,229.799,0.0,4.096,1.0,99.313,0.0,0.0,1.0,2.618,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,5.594,1.0,-9999,1.0,63.9051,0.0,-9999,-9999,-9999,-9999,61.4553,0.0,-9999,-9999,-9999,-9999,-0.965893,0.0,-9999,-1.06122,-1.02196,-1.00913,0.0,0.0,0.0,1.31906,1.27865,1.31581,1.38224,2.34597,2.31729,2.34623,2.39138,1.89903,1.49906,1.89903,3.52949,2.02991,2.02991,2.09515,2.89814,-9999,-9999
