TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20000111,-1.602,1.0,90.85,56.218,1.0,265.624,0.0,0.445,1.0,97.901,1.0,0.0,1.0,3.342,1.0,-9999,0.0,-6.85395833333,1.0,103.834375,1.0,-9999,0.0,-9999,0.0,14.8233333333,1.0,5.404375,1.0,-9999,0.0,379.888,0.979167,0.959,2.7,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,43.796,-9999,-9999,1.0,-9999,-9999,-9.09208,1.0,6.92953,0.979167,4.2636,-0.207024,9.88027,1.15787,14.0089,0.979167,8.6194,-0.418525,19.9742,3.27574,1.23537,0.875,0.116873,1.0933,1.19586,1.2115,0.875,0.875,0.875,1.30727,1.21489,1.24548,1.35496,0.0719034,0.0710373,0.112824,0.152765,1.23829,1.19813,1.25699,1.33121,0.147934,0.103039,0.150548,0.170526,1.21203,1.0
20000112,-2.06,1.0,92.0087,19.207,1.0,278.012,0.0,0.377,1.0,97.316,1.0,0.0,1.0,5.855,1.0,-9999,0.0,-36.6875,1.0,40.6733333333,1.0,-9999,0.0,-9999,0.0,18.7375,1.0,1.76166666667,1.0,-9999,0.0,383.459,1.0,0.576,2.363,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,43.727,-9999,-9999,1.0,-9999,-9999,-7.12063,1.0,1.02329,1.0,0.952043,0.0429765,1.80078,0.943314,23.0954,1.0,21.4873,0.969967,40.6432,3.91926,1.1752,1.0,0.124957,1.08023,1.15936,1.17416,1.0,1.0,1.0,1.31332,1.21626,1.24629,1.35772,0.138119,0.0646453,0.131659,0.190105,1.22267,1.19661,1.22804,1.32309,0.0416051,0.03816,0.0418721,0.0511711,1.15946,1.0
20000113,-4.789,1.0,93.2241,34.972,1.0,256.653,0.0,0.355,1.0,96.364,1.0,0.0,1.0,4.063,1.0,0.844776470588,0.708333333333,-28.04125,1.0,69.7525,1.0,-9999,0.0,-9999,0.0,16.9577083333,1.0,3.78895833333,1.0,-9999,0.0,386.52,1.0,0.283,2.124,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,43.666,-9999,-9999,1.0,-9999,-9999,-7.01187,1.0,2.37105,1.0,1.45886,0.0995803,3.3807,1.26076,18.2119,0.958333,11.2054,0.764871,25.967,3.76976,0.913289,1.0,0.117273,0.885842,0.907206,0.913884,0.979167,1.0,1.0,1.03973,0.951483,0.975448,1.04716,0.126436,0.0474106,0.0683326,0.136504,1.03031,0.997996,1.03006,1.06889,0.0618577,0.0556602,0.0631213,0.073864,1.12114,1.0
20000114,-1.437,1.0,94.4961,26.343,1.0,281.675,0.0,0.466,1.0,96.458,1.0,0.0,1.0,2.422,1.0,0.565804545455,0.916666666667,12.2452083333,1.0,53.3466666667,1.0,-9999,-9999,-9999,-9999,22.2222916667,1.0,2.38729166667,1.0,-9999,-9999,389.757,1.0,0.229,1.925,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,43.612,-9999,-9999,1.0,-9999,-9999,-5.4525,1.0,2.42282,1.0,0.708012,0.101754,2.25413,1.23389,5.62741,1.0,1.64448,0.236342,5.2356,3.34976,1.49267,1.0,0.125696,1.3282,1.45024,1.48796,1.0,1.0,1.0,1.33989,1.24073,1.28395,1.3442,-0.152787,-0.149195,-0.12363,-0.107348,1.23335,1.17138,1.23128,1.23903,0.0399758,0.0378602,0.0417202,0.0594943,1.11416,1.0
20000115,-1.075,1.0,95.8246,14.197,1.0,291.896,0.0,0.572,1.0,97.329,1.0,0.0,1.0,1.553,1.0,0.320602702703,0.770833333333,1.278125,1.0,28.1489583333,1.0,-9999,0.0,-9999,0.0,12.8591666667,1.0,1.17708333333,1.0,-9999,0.0,392.376,1.0,0.288,1.816,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,43.563,-9999,-9999,1.0,-9999,-9999,-4.97458,1.0,1.18961,1.0,0.347636,0.0499618,1.69617,1.06405,3.19573,1.0,0.933875,0.134215,4.55653,3.28692,1.28187,1.0,0.117984,1.15909,1.23192,1.2617,1.0,1.0,1.0,1.35621,1.25436,1.31126,1.35498,0.0743418,0.0743418,0.0879276,0.0953361,1.24957,1.17225,1.24735,1.25243,0.0227664,0.0213873,0.0230262,0.034133,1.12175,1.0
20000116,-1.579,1.0,97.2092,17.984,1.0,304.465,0.0,0.211,1.0,97.401,1.0,0.0,1.0,3.912,1.0,-9999,0.0,0.840833333333,1.0,35.38125,1.0,-9999,0.0,-9999,0.0,16.0097916667,1.0,1.62125,1.0,-9999,0.0,381.367,1.0,0.31,1.756,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,43.519,-9999,-9999,1.0,-9999,-9999,-4.97396,1.0,0.562711,1.0,0.164439,0.0236329,0.572751,0.924626,-7.14864,1.0,-2.08902,-7.27619,-0.300231,3.23228,1.20312,1.0,0.120122,1.106,1.16728,1.19086,1.0,1.0,1.0,1.28266,1.18131,1.23854,1.27112,0.0795391,0.0697032,0.0767964,0.0828238,1.20105,1.1377,1.20206,1.21419,0.036136,0.0320233,0.0348991,0.0448432,1.12461,1.0
20000117,3.387,1.0,98.6503,9.87,1.0,335.065,0.0,0.312,1.0,96.407,1.0,0.99,1.0,6.353,1.0,-9999,0.0,6.103125,1.0,19.82625,1.0,-9999,0.0,-9999,0.0,9.8325,1.0,0.610416666667,1.0,-9999,0.0,373.915,0.5,0.838,1.726,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,43.601,-9999,-9999,1.0,-9999,-9999,-2.20062,1.0,-4.81661,0.5,-1.40754,-4.90255,1.11764,0.907275,-22.7657,0.5,-6.65272,-23.1719,5.2825,3.30208,1.115,0.4375,0.123048,1.08344,1.09027,1.10377,0.4375,0.4375,0.4375,1.70986,1.62124,1.67193,1.70986,0.594859,0.560656,0.591454,0.60822,1.51183,1.35295,1.45946,1.52881,0.0239379,0.0203591,0.0222939,0.0257545,1.19654,1.0
20000118,2.493,1.0,100.148,16.675,1.0,301.187,0.0,0.861,1.0,95.944,1.0,5.43,1.0,5.822,1.0,-9999,0.0,-8.546875,1.0,32.9829166667,1.0,-9999,0.0,-9999,0.0,13.6972916667,1.0,1.36,1.0,-9999,0.0,373.716,0.729167,1.919,1.969,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,44.183,-9999,-9999,1.0,-9999,-9999,0.495,1.0,4.48165,0.729167,4.16961,0.628244,6.39002,1.1355,-21.1818,0.729167,-6.18987,-21.5597,4.91498,3.27503,0.99813,0.729167,0.132685,0.968195,0.985599,0.989434,0.729167,0.729167,0.729167,1.54143,1.47217,1.50951,1.53965,0.543304,0.510165,0.533823,0.551652,1.40742,1.29126,1.39458,1.42147,0.0473294,0.0390674,0.0429084,0.0458142,1.35321,1.0
20000119,-1.278,1.0,101.701,63.686,1.0,240.906,0.0,0.957,1.0,96.862,1.0,0.0,1.0,3.4,1.0,0.733494285714,0.729166666667,-44.9027083333,1.0,112.598333333,1.0,-9999,0.0,-9999,0.0,10.7029166667,1.0,6.24770833333,1.0,-9999,0.0,373.988,1.0,0.855,2.115,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,44.287,-9999,-9999,1.0,-9999,-9999,-6.98312,1.0,3.19885,1.0,3.25593,0.934788,7.03239,1.34444,-9.96987,1.0,-9.27571,-14.2152,-1.39759,3.73296,0.973767,1.0,0.126764,0.896992,0.94872,0.973287,1.0,1.0,1.0,1.12714,1.06533,1.09235,1.12646,0.153376,0.107879,0.153553,0.193156,1.13187,1.08917,1.10114,1.13265,0.163228,0.138309,0.141273,0.148504,1.1978,1.0
20000120,-1.161,1.0,103.309,5.703,1.0,300.875,0.0,0.083,1.0,96.74,1.0,0.0,1.0,4.718,1.0,-9999,0.0,-7.630625,1.0,11.6710416667,1.0,-9999,0.0,-9999,0.0,3.86479166667,1.0,0.704791666667,1.0,-9999,0.0,380.448,1.0,0.463,1.93,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,44.14,-9999,-9999,1.0,-9999,-9999,-5.535,1.0,-1.87223,1.0,-1.90563,-2.66946,-0.547115,0.900848,-13.0771,1.0,-13.3105,-18.6456,-3.82148,2.86495,1.3965,1.0,0.129142,1.33925,1.35269,1.38386,1.0,1.0,1.0,1.10696,1.06289,1.09167,1.10825,-0.289538,-0.292117,-0.287999,-0.255042,0.964994,0.944691,0.958441,0.975689,0.00987265,0.00753111,0.00860375,0.00942187,1.14455,1.0
20000121,0.167,1.0,104.973,17.803,1.0,291.198,0.0,1.168,1.0,96.152,1.0,13.43,1.0,4.251,1.0,-9999,-9999,-2.769375,1.0,35.6795833333,1.0,-9999,-9999,-9999,-9999,12.865625,1.0,2.09,1.0,-9999,-9999,376.769,1.0,0.603,1.804,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,44.874,-9999,-9999,1.0,-9999,-9999,-4.64375,1.0,5.35528,0.979167,5.45083,1.56495,7.63567,1.34626,-6.70118,1.0,-6.82074,-9.55468,-1.95826,2.87937,1.16772,0.979167,0.126814,1.11388,1.13037,1.15723,0.979167,0.979167,0.979167,1.32957,1.30771,1.31651,1.33183,0.161841,0.152067,0.171325,0.214839,0.853589,0.86341,0.876095,0.954688,0.0188116,0.0156907,0.0188116,0.0567539,1.16307,1.0
20000122,-0.926,1.0,106.692,8.694,1.0,308.772,0.0,0.105,1.0,95.302,1.0,9.29,1.0,3.339,1.0,0.668497297297,0.770833333333,2.825625,1.0,17.4479166667,1.0,-9999,0.0,-9999,0.0,3.05041666667,1.0,1.89645833333,1.0,-9999,0.0,377.678,1.0,0.69,1.761,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,46.167,-9999,-9999,1.0,-9999,-9999,-3.99583,1.0,-1.33391,1.0,-1.24103,-1.65796,-0.186989,1.33682,-2.82768,1.0,-2.6308,-3.51462,-0.396388,2.7399,1.00057,1.0,0.120194,0.973518,0.994121,1.00057,1.0,1.0,1.0,1.35589,1.32081,1.35589,1.36486,0.355324,0.341441,0.355324,0.389782,0.687475,0.69281,0.704349,0.927674,0.00722704,0.00335626,0.00688904,0.0291494,1.17476,1.0
20000123,-5.72,1.0,108.466,27.743,1.0,262.014,0.0,0.132,1.0,95.782,1.0,0.14,1.0,2.683,1.0,0.542465714286,0.729166666667,3.76354166667,1.0,61.469375,1.0,-9999,0.0,-9999,0.0,4.62770833333,1.0,7.23291666667,1.0,-9999,0.0,378.779,1.0,0.777,1.76,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,45.888,-9999,-9999,1.0,-9999,-9999,-3.77708,1.0,2.57483,1.0,2.39555,0.360943,3.20035,1.26152,4.83361,1.0,4.49707,0.677584,6.00788,3.80006,0.890042,0.916667,0.132358,0.87263,0.884256,0.890042,0.916667,0.916667,0.916667,1.01311,0.972445,1.01069,1.02817,0.123067,0.0947047,0.12074,0.148651,0.527267,0.529557,0.543741,0.664459,0.017722,0.0100364,0.0173576,0.0963526,1.18652,1.0
20000124,-8.635,1.0,110.295,45.263,1.0,219.75,0.0,0.199,1.0,96.556,1.0,0.0,1.0,1.887,1.0,-9999,0.0,5.43458333333,1.0,92.560625,1.0,-9999,0.0,-9999,0.0,7.10520833333,1.0,9.94770833333,1.0,-9999,0.0,377.383,1.0,0.481,1.748,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,45.236,-9999,-9999,1.0,-9999,-9999,-5.09,1.0,5.64187,1.0,5.24905,0.790886,7.01249,1.38705,-10.5258,1.0,-3.07591,-10.7136,-0.624153,3.0756,0.645618,0.833333,0.130343,0.637608,0.641393,0.645618,0.833333,0.833333,0.833333,0.8199,0.773434,0.815596,0.828863,0.174282,0.108796,0.170146,0.202196,0.487007,0.487108,0.505721,0.544082,0.0516429,0.0447576,0.0512491,0.163247,1.1469,1.0
20000125,-8.338,1.0,112.176,66.883,1.0,214.093,0.0,0.423,1.0,96.963,1.0,0.0,1.0,3.884,1.0,-9999,0.0,10.5635416667,1.0,135.232916667,1.0,-9999,0.0,-9999,0.0,8.294375,1.0,12.1510416667,1.0,-9999,0.0,377.251,1.0,0.269,1.66,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,44.835,-9999,-9999,1.0,-9999,-9999,-4.9325,1.0,6.25199,1.0,5.81669,0.876414,7.77083,1.62055,-1.12023,0.979167,-1.04223,-1.39237,-0.157035,3.54638,0.715912,0.854167,0.130853,0.706969,0.713703,0.715912,0.854167,0.854167,0.854167,0.858861,0.788898,0.854707,0.928948,0.142949,0.103839,0.138796,0.228706,0.519303,0.518316,0.527791,0.570428,0.113141,0.109291,0.112755,0.238633,1.11935,1.0
20000126,-6.324,1.0,114.113,43.179,1.0,283.519,0.0,0.403,1.0,97.12,1.0,0.14,1.0,7.307,1.0,-9999,0.0,15.115,1.0,84.3439583333,1.0,-9999,0.0,-9999,0.0,18.7164583333,1.0,7.095,1.0,-9999,0.0,385.461,0.979167,0.158,1.549,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,44.561,-9999,-9999,1.0,-9999,-9999,-4.94938,1.0,1.65417,0.958333,1.68368,0.231884,2.05603,1.63485,8.88577,0.979167,9.04431,1.24562,11.0445,3.55111,1.09433,0.75,0.131798,1.08759,1.09433,1.09597,0.75,0.75,0.75,0.940513,0.874712,0.940513,1.0877,-0.153821,-0.157379,-0.0391418,-0.00356783,0.598431,0.597514,0.605821,0.641924,0.100485,0.0978417,0.100229,0.167711,1.10505,1.0
20000127,-2.746,1.0,116.101,16.899,1.0,291.538,0.0,0.297,1.0,96.935,1.0,0.0,1.0,3.994,1.0,-9999,0.0,3.56604166667,1.0,34.125625,1.0,-9999,0.0,-9999,0.0,16.0527083333,1.0,3.00354166667,1.0,-9999,0.0,389.045,1.0,0.167,1.461,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,44.372,-9999,-9999,1.0,-9999,-9999,-4.26437,1.0,-0.195593,0.958333,-0.0571573,-0.243109,-0.0274185,1.04261,6.88525,1.0,7.0081,0.965185,8.55793,3.12357,1.33531,0.9375,0.132503,1.31501,1.33531,1.3665,0.9375,0.9375,0.9375,1.12486,1.06754,1.12486,1.26236,-0.210455,-0.246451,-0.210455,-0.0865224,0.723914,0.723129,0.72981,0.756522,0.0510643,0.0497671,0.0509434,0.0687649,1.10632,1.0
20000128,-3.183,1.0,118.144,53.489,1.0,259.367,0.0,1.18,1.0,95.97,1.0,0.0,1.0,5.925,1.0,-9999,-9999,-5.26916666667,1.0,95.8085416667,1.0,-9999,-9999,-9999,-9999,30.8210416667,1.0,7.86708333333,1.0,-9999,-9999,389.799,0.895833,0.151,1.415,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,44.207,-9999,-9999,1.0,-9999,-9999,-4.32729,1.0,0.581031,0.875,0.591398,0.0344537,0.722185,1.95296,21.5813,0.895833,21.9664,1.27972,26.8243,3.63659,1.11795,0.854167,0.13382,1.11202,1.11748,1.11795,0.854167,0.854167,0.854167,0.941121,0.896349,0.938032,1.01721,-0.176825,-0.221133,-0.179914,-0.0925479,0.743546,0.735755,0.747274,0.760631,0.18751,0.187113,0.18751,0.205131,1.10421,1.0
