TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20000111,-8.314,1.0,125.985,80.854,1.0,246.401,0.0,0.915,1.0,95.236,1.0,0.312,1.0,3.538,0.0,-9999,0.0,-9999,0.0,169.382895833,1.0,-9999,0.0,-9999,0.0,377.067,1.0,-9999,-9999,-9999,1.0,54.8306,0.0,74.804,-9999,-9999,-9999,7.86438,0.0,10.7292,-9999,-9999,-9999,0.410497,0.0,-9999,0.303289,0.390141,0.458315,0.0,0.0,0.0,1.69746,1.67387,1.74017,1.86043,0.881968,1.24417,1.35751,1.43688,1.52877,1.57764,1.70211,1.713,0.916651,0.907275,0.929081,0.933572,-9999,-9999
20000112,-14.379,1.0,127.183,27.409,1.0,242.245,0.0,0.471,1.0,96.452,1.0,0.0,1.0,1.673,0.541667,-9999,0.0,-9999,0.0,58.1824791667,1.0,-9999,0.0,-9999,0.0,375.854,1.0,-9999,-9999,-9999,1.0,54.3299,0.0,79.86,-9999,-9999,-9999,17.9225,0.0,26.3445,-9999,-9999,-9999,0.831464,0.0,-9999,0.376001,0.455882,0.821793,0.0,0.0,0.0,1.12834,1.13386,1.22352,1.33598,0.362104,0.371522,0.782833,0.837988,1.19332,1.23147,1.32863,1.33713,0.374742,0.374742,0.382621,0.38493,-9999,-9999
20000113,-11.419,1.0,128.44,36.784,1.0,226.721,0.0,0.308,1.0,97.361,1.0,0.0,1.0,1.677,1.0,-9999,0.0,-9999,0.0,76.1139375,1.0,-9999,0.0,-9999,0.0,375.393,1.0,-9999,-9999,-9999,1.0,57.4901,0.0,88.554,-9999,-9999,-9999,31.8277,0.0,49.0252,-9999,-9999,-9999,0.64861,0.0,-9999,0.41944,0.482901,0.68342,0.0,0.0,0.0,1.40134,1.40134,1.48802,1.60567,0.91183,0.854082,0.995402,1.08817,1.36539,1.40904,1.52021,1.52994,0.480982,0.480982,0.490246,0.492979,-9999,-9999
20000114,-11.223,1.0,129.752,28.458,1.0,246.656,0.0,0.502,1.0,97.296,1.0,0.0,1.0,2.301,1.0,-9999,-9999,-9999,-9999,70.6816666667,1.0,-9999,-9999,-9999,-9999,377.046,1.0,-9999,-9999,-9999,1.0,54.8306,0.0,87.2156,-9999,-9999,-9999,7.86438,0.0,12.5094,-9999,-9999,-9999,0.410497,0.0,-9999,0.303289,0.390141,0.458315,0.0,0.0,0.0,1.42056,1.42056,1.50626,1.62028,0.593832,0.990735,1.11833,1.19354,1.37563,1.41961,1.53161,1.54141,0.389135,0.389135,0.397312,0.399708,-9999,-9999
20000115,-4.73,1.0,131.121,61.011,1.0,264.143,0.0,0.879,1.0,95.792,1.0,1.712,1.0,2.883,1.0,-9999,0.0,-9999,0.0,132.7441875,1.0,-9999,0.0,-9999,0.0,380.028,1.0,-9999,-9999,-9999,1.0,54.3299,0.0,88.4687,-9999,-9999,-9999,17.9225,0.0,29.1844,-9999,-9999,-9999,0.831464,0.0,-9999,0.376001,0.455882,0.821793,0.0,0.0,0.0,2.03665,1.97911,2.03831,2.20229,1.32027,1.32027,1.59711,1.68821,1.72032,1.77531,1.91538,1.92764,0.728169,0.724074,0.739811,0.743311,-9999,-9999
20000116,-12.369,1.0,132.545,97.869,1.0,213.844,0.0,0.738,1.0,97.536,1.0,0.0,1.0,3.162,1.0,-9999,0.0,-9999,0.0,183.7486875,1.0,-9999,0.0,-9999,0.0,373.941,1.0,-9999,-9999,-9999,1.0,57.4901,0.0,95.4899,-9999,-9999,-9999,31.8277,0.0,52.865,-9999,-9999,-9999,0.64861,0.0,-9999,0.41944,0.482901,0.68342,0.0,0.0,0.0,1.31439,1.31703,1.40223,1.526,0.817309,0.768394,0.91696,1.00065,1.30957,1.35143,1.45806,1.46739,1.05962,1.0448,1.07026,1.07715,-9999,-9999
20000117,-10.956,1.0,134.025,19.136,1.0,269.695,0.0,0.438,1.0,96.968,1.0,0.0,1.0,3.354,0.854167,-9999,0.0,-9999,0.0,42.8615416667,1.0,-9999,0.0,-9999,0.0,374.279,1.0,-9999,-9999,-9999,1.0,54.8306,0.0,92.5032,-9999,-9999,-9999,7.86438,0.0,13.2678,-9999,-9999,-9999,0.410497,0.0,-9999,0.303289,0.390141,0.458315,0.0,0.0,0.0,1.44636,1.44397,1.53068,1.6405,0.620762,1.01565,1.14068,1.21753,1.38999,1.43443,1.5476,1.5575,0.267221,0.267221,0.272829,0.274792,-9999,-9999
20000118,-7.7,1.0,135.56,91.693,1.0,234.016,0.0,1.114,1.0,95.976,1.0,1.246,1.0,3.705,0.0,-9999,0.0,-9999,0.0,192.195125,1.0,-9999,0.0,-9999,0.0,375.076,1.0,-9999,-9999,-9999,1.0,54.3299,0.0,92.8182,-9999,-9999,-9999,17.9225,0.0,30.6192,-9999,-9999,-9999,0.831464,0.0,-9999,0.376001,0.455882,0.821793,0.0,0.0,0.0,1.75348,1.72786,1.79517,1.92071,1.02975,1.02975,1.34729,1.44071,1.57125,1.62148,1.74941,1.7606,1.0218,1.00983,1.03424,1.0399,-9999,-9999
20000119,-10.126,1.0,137.149,21.299,1.0,245.294,0.0,1.173,1.0,95.83,1.0,0.0,1.0,2.239,0.0,-9999,0.0,-9999,0.0,43.4969166667,1.0,-9999,0.0,-9999,0.0,375.858,1.0,-9999,-9999,-9999,1.0,57.4901,0.0,103.483,-9999,-9999,-9999,31.8277,0.0,57.29,-9999,-9999,-9999,0.64861,0.0,-9999,0.41944,0.482901,0.68342,0.0,0.0,0.0,1.52277,1.51876,1.5989,1.70639,1.04143,0.970107,1.1025,1.19987,1.43858,1.48457,1.6017,1.61195,0.300092,0.300092,0.306334,0.308727,-9999,-9999
20000120,-19.166,1.0,138.793,75.537,0.8125,199.902,0.0,0.38,1.0,95.989,0.979167,0.156,1.0,2.668,0.5625,-9999,0.0,-9999,0.0,115.608854167,1.0,-9999,0.0,-9999,0.0,379.492,1.0,-9999,-9999,-9999,1.0,54.8306,0.0,99.6232,-9999,-9999,-9999,7.86438,0.0,14.8762,-9999,-9999,-9999,0.410497,0.0,-9999,0.303289,0.390141,0.458315,0.0,0.0,0.0,0.723656,0.755838,0.815762,0.932934,-0.176675,0.281316,0.465129,0.524539,0.900045,0.928817,1.0021,1.00851,0.873342,0.865859,0.886279,0.890201,-9999,-9999
