TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20040121,-4.909,0.0,106.282,37.222,0.0,253.67,0.0,0.495,0.0,96.162,0.0,1.868,0.0,2.717,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.8674,0.0,44.3672,0.0,-9999,-9999,-9999,-9999,20.141,0.0,-9999,-9999,-9999,-9999,-8.0188,0.0,-9999,-8.48021,-8.36148,-8.13243,0.0,0.0,0.0,1.43119,1.31921,1.41732,1.47068,9.44999,9.48928,9.59597,9.8943,0.347297,0.346546,0.347407,0.353507,3.277,3.25361,3.27691,3.28606,-9999,-9999
20040122,-9.029,0.0,108.004,47.227,0.0,221.669,0.0,0.557,0.0,96.657,0.0,0.475,0.0,1.956,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.5623,0.0,41.8556,0.0,-9999,-9999,-9999,-9999,15.8082,0.0,-9999,-9999,-9999,-9999,-9.37186,0.0,-9999,-9.74044,-9.40521,-9.37186,0.0,0.0,0.0,0.943218,0.867143,0.923089,0.956459,10.3151,10.305,10.3662,10.6025,0.149386,0.149063,0.149433,0.152057,4.07115,4.04533,4.07045,4.08134,-9999,-9999
20040123,-12.797,0.0,109.78,60.609,0.0,180.99,0.0,0.46,0.0,96.651,0.0,0.0,0.0,2.123,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.5622,0.0,37.9201,0.0,-9999,-9999,-9999,-9999,15.2269,0.0,-9999,-9999,-9999,-9999,-8.4961,0.0,-9999,-8.67936,-8.6481,-8.4961,0.0,0.0,0.0,0.593076,0.543762,0.573136,0.593227,9.08918,9.07998,9.13181,9.24873,0.0673047,0.0671592,0.0673259,0.0685083,5.09285,5.06536,5.09111,5.10401,-9999,-9999
20040124,-11.689,0.0,111.61,61.469,0.0,190.953,0.0,0.575,0.0,96.259,0.0,0.0,0.0,2.373,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.8674,0.0,44.3672,0.0,-9999,-9999,-9999,-9999,20.141,0.0,-9999,-9999,-9999,-9999,-8.0188,0.0,-9999,-8.48021,-8.36148,-8.13243,0.0,0.0,0.0,0.675718,0.619885,0.65502,0.677807,8.69452,8.73813,8.96998,9.0977,0.079634,0.0794616,0.0796592,0.081058,5.15621,5.12867,5.15439,5.16741,-9999,-9999
20040125,-5.253,0.0,113.494,11.842,0.0,287.427,0.0,0.391,0.0,95.694,0.0,2.328,0.0,1.562,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.5623,0.0,41.8556,0.0,-9999,-9999,-9999,-9999,15.8082,0.0,-9999,-9999,-9999,-9999,-9.37186,0.0,-9999,-9.74044,-9.40521,-9.37186,0.0,0.0,0.0,1.41597,1.3055,1.40269,1.45686,10.7878,10.7628,10.8679,11.0196,0.379282,0.378461,0.379402,0.386064,1.10911,1.09847,1.10911,1.11308,-9999,-9999
20040126,-1.439,0.0,115.432,28.393,0.0,300.826,0.0,0.727,0.0,95.402,0.0,0.822,0.0,1.673,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.5622,0.0,37.9201,0.0,-9999,-9999,-9999,-9999,15.2269,0.0,-9999,-9999,-9999,-9999,-8.4961,0.0,-9999,-8.67936,-8.6481,-8.4961,0.0,0.0,0.0,1.9684,1.81862,1.9684,2.04676,10.4645,10.4194,10.5611,10.6004,0.727807,0.726233,0.728038,0.740822,2.55366,2.53332,2.55366,2.56142,-9999,-9999
20040127,-5.451,0.0,117.423,41.433,0.0,254.712,0.0,0.549,0.0,94.687,0.0,0.128,0.0,1.385,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.8674,0.0,44.3672,0.0,-9999,-9999,-9999,-9999,20.141,0.0,-9999,-9999,-9999,-9999,-8.0188,0.0,-9999,-8.48021,-8.36148,-8.13243,0.0,0.0,0.0,1.36044,1.25361,1.34672,1.39576,9.37924,9.4198,9.53533,9.8192,0.315723,0.31504,0.315823,0.321369,3.60064,3.57662,3.60024,3.61004,-9999,-9999
20040128,-4.55,0.0,119.466,41.003,0.0,249.287,0.0,0.694,0.0,94.538,0.0,0.444,0.0,2.598,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.5623,0.0,41.8556,0.0,-9999,-9999,-9999,-9999,15.8082,0.0,-9999,-9999,-9999,-9999,-9.37186,0.0,-9999,-9.74044,-9.40521,-9.37186,0.0,0.0,0.0,1.48411,1.36838,1.47027,1.52724,10.856,10.8304,10.9389,11.0795,0.380945,0.380121,0.381066,0.387757,3.59223,3.56726,3.59201,3.60195,-9999,-9999
20040129,-2.736,0.0,121.562,35.857,0.0,247.755,0.0,0.992,0.0,94.441,0.0,2.162,0.0,4.712,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.5622,0.0,37.9201,0.0,-9999,-9999,-9999,-9999,15.2269,0.0,-9999,-9999,-9999,-9999,-8.4961,0.0,-9999,-8.67936,-8.6481,-8.4961,0.0,0.0,0.0,1.7593,1.62412,1.75576,1.82187,10.2554,10.2258,10.3368,10.3937,0.564359,0.563138,0.564538,0.574451,3.18369,3.15994,3.18369,3.19285,-9999,-9999
20040130,-0.967,0.0,123.709,22.533,0.0,278.633,0.0,1.23,0.0,95.519,0.0,6.464,0.0,6.996,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.8674,0.0,44.3672,0.0,-9999,-9999,-9999,-9999,20.141,0.0,-9999,-9999,-9999,-9999,-8.0188,0.0,-9999,-8.48021,-8.36148,-8.13243,0.0,0.0,0.0,2.04765,1.89238,2.04765,2.13225,10.0665,10.1078,10.1979,10.5553,0.796463,0.79474,0.796716,0.810706,2.05718,2.03957,2.05718,2.06384,-9999,-9999
