TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20010111,-0.5,0.0,90.7059,26.573,0.0,276.787,0.0,0.68,0.0,100.115,0.0,2.18,0.0,2.167,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,419.652,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.58,26.205,29.953,-9999,0.0,0.0,0.0,-9999,-13.0682,0.0,2.17567,0.0,1.25248,-9999,-9999,0.333548,3.82143,0.0,1.9045,-9999,-9999,0.965477,-0.0490544,0.0,0.144344,-0.0797659,-0.0593919,-0.0132448,0.0,0.0,0.0,0.125648,0.124873,0.185933,0.197963,0.195544,0.166655,0.190129,0.256947,0.471415,0.478681,0.516337,0.609903,0.410522,0.386914,0.410522,0.446155,-9999,-9999
20010112,-3.071,0.0,91.8642,43.757,0.0,230.023,0.0,0.649,0.0,100.759,0.0,0.0,0.0,1.477,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,419.605,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.416,23.89,29.816,-9999,0.0,0.0,0.0,-9999,-11.7675,0.0,1.55055,0.0,0.728955,-9999,-9999,0.336558,3.33268,0.0,1.30916,-9999,-9999,1.04817,-0.00645946,0.0,0.132914,-0.027178,-0.00165118,0.0259323,0.0,0.0,0.0,0.110243,0.109157,0.155503,0.175578,0.111013,0.126153,0.157698,0.194823,0.386838,0.389157,0.449068,0.526631,0.602744,0.572731,0.602744,0.638804,-9999,-9999
20010113,-3.763,0.0,93.0794,44.948,0.0,233.754,0.0,0.8,0.0,101.422,0.0,0.054,0.0,2.353,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,419.899,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.637,26.407,29.872,-9999,0.0,0.0,0.0,-9999,-13.5089,0.0,1.76908,0.0,0.819824,-9999,-9999,0.364714,4.23304,0.0,1.51343,-9999,-9999,1.15576,-0.115844,0.0,0.0884195,-0.130124,-0.0707014,-0.0468604,0.0,0.0,0.0,0.106124,0.104958,0.14745,0.169576,0.223443,0.205095,0.220801,0.265359,0.36454,0.378589,0.42738,0.516534,0.614259,0.584001,0.614259,0.649884,-9999,-9999
20010114,-4.457,0.0,94.3512,45.893,0.0,216.527,0.0,0.905,0.0,101.484,0.0,0.0,0.0,2.186,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,419.59,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.734,28.291,30.008,-9999,0.0,0.0,0.0,-9999,-13.5089,0.0,2.17567,0.0,0.91609,-9999,-9999,0.43965,3.77625,0.0,1.27014,-9999,-9999,1.44575,-0.0490544,0.0,0.0653306,-0.0797659,-0.0593919,-0.0132448,0.0,0.0,0.0,0.102027,0.100791,0.13969,0.163567,0.171923,0.135341,0.166781,0.212164,0.343338,0.367023,0.413081,0.506409,0.626888,0.596045,0.626888,0.663088,-9999,-9999
20010115,-4.352,0.416667,95.6795,48.728,0.479167,234.329,0.416667,0.885,0.416667,101.049,0.291667,0.0,0.291667,2.948,0.291667,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,419.743,0.416667,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.585,25.332,29.733,-9999,0.416667,0.416667,0.416667,-9999,-12.5418,0.416667,2.30754,0.416667,0.980165,-9999,-9999,0.456561,4.20247,0.416667,1.4884,-9999,-9999,1.81454,-0.177072,0.375,0.0689349,-0.162322,-0.148672,-0.0951797,0.375,0.354167,0.354167,0.102681,0.101464,0.141108,0.164497,0.265567,0.249658,0.277932,0.304277,0.347413,0.370837,0.415251,0.507734,0.651404,0.620242,0.651404,0.686033,-9999,-9999
20010116,-6.705,1.0,97.0639,55.377,1.0,228.837,1.0,0.283,1.0,100.669,1.0,0.0,1.0,1.079,1.0,-9999,0.0,-20.8676923077,0.541666666667,92.1460416667,1.0,-9999,0.0,-9999,0.0,-9999,0.0,20.16125,1.0,281.236538462,0.541666666667,418.226,0.958333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.811,26.008,29.707,-9999,1.0,1.0,1.0,-9999,-14.6175,1.0,2.10515,0.958333,0.899769,-9999,-9999,0.438867,4.24629,0.958333,1.55798,-9999,-9999,1.80878,-0.22184,0.708333,0.0704405,-0.283697,-0.176495,-0.142479,0.708333,0.708333,0.708333,0.0891531,0.0877527,0.116547,0.144455,0.303267,0.287884,0.309593,0.392448,0.281361,0.310099,0.353544,0.472165,0.708929,0.675538,0.708929,0.74095,-9999,-9999
20010117,-8.379,1.0,98.5045,50.604,1.0,215.473,1.0,0.389,1.0,100.204,1.0,0.0,1.0,0.802,1.0,0.0580542352941,0.708333333333,-30.243125,1.0,83.194375,1.0,-9999,0.0,-9999,0.0,-9999,0.0,19.3341666667,1.0,277.785416667,1.0,419.658,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.435,24.229,29.901,-9999,1.0,1.0,1.0,-9999,-11.9117,1.0,1.81871,1.0,0.790101,-9999,-9999,0.391355,3.42781,1.0,1.29041,-9999,-9999,1.81603,-0.0554197,0.8125,0.0634964,-0.0857999,-0.03669,0.00544988,0.8125,0.8125,0.8125,0.0797838,0.0782933,0.100382,0.13042,0.136367,0.125304,0.135041,0.173546,0.238789,0.276151,0.326805,0.445881,0.661086,0.62979,0.661086,0.694222,-9999,-9999
20010118,-6.759,1.0,100.002,19.852,1.0,262.934,1.0,0.37,1.0,100.244,1.0,0.0,1.0,0.682,1.0,0.0655438823529,0.708333333333,-14.67125,1.0,61.0522916667,1.0,-9999,0.0,-9999,0.0,-9999,0.0,11.8929166667,1.0,286.41375,1.0,419.505,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.172,20.646,29.625,-9999,1.0,1.0,1.0,-9999,-7.37687,1.0,1.23814,1.0,0.539105,-9999,-9999,0.3565,3.17896,1.0,1.22033,-9999,-9999,1.28663,0.0202073,0.979167,0.0649288,-0.128723,0.000561737,0.0202073,0.979167,0.9375,0.979167,0.0888988,0.0875038,0.116291,0.144042,0.0833113,0.0833113,0.127025,0.272765,0.280899,0.309228,0.352532,0.471115,0.330264,0.309454,0.330264,0.365704,-9999,-9999
20010119,-5.905,1.0,101.555,60.461,0.916667,215.869,1.0,0.499,1.0,100.321,1.0,0.0,1.0,0.748,1.0,0.0744989354839,0.645833333333,-16.1195833333,1.0,67.3971428571,0.875,-9999,0.0,-9999,0.0,-9999,0.0,22.034375,1.0,287.220208333,1.0,420.685,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.226,20.127,29.411,-9999,1.0,1.0,1.0,-9999,-6.13771,1.0,2.27344,1.0,2.06213,-9999,-9999,0.442807,6.43457,1.0,5.8365,-9999,-9999,1.68675,-0.0779069,0.5625,0.0698353,-0.147249,-0.0970229,-0.062783,0.5625,0.5625,0.5625,0.0937985,0.0924688,0.125168,0.151304,0.180921,0.178277,0.243937,0.266857,0.304754,0.335549,0.379292,0.484042,0.749664,0.714569,0.749664,0.779413,-9999,-9999
20010120,-2.652,1.0,103.163,45.661,1.0,265.96,1.0,0.494,1.0,100.491,1.0,0.0,1.0,0.856,1.0,0.0781312333333,0.625,-4.455,1.0,87.86125,1.0,-9999,0.0,-9999,0.0,-9999,0.0,14.4960416667,1.0,301.5775,1.0,425.147,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.575,20.262,29.289,-9999,1.0,1.0,1.0,-9999,-1.92375,1.0,1.51832,1.0,1.37719,-9999,-9999,0.428913,2.33324,1.0,2.11637,-9999,-9999,0.945475,-0.128255,0.333333,0.0693885,-0.122299,-0.106262,-0.0966661,0.333333,0.354167,0.354167,0.112743,0.111704,0.160362,0.179224,0.235254,0.236082,0.258685,0.280598,0.400254,0.408415,0.457056,0.540072,0.598582,0.57022,0.598582,0.629113,-9999,-9999
20010121,-3.464,1.0,104.827,16.569,1.0,279.79,1.0,0.356,1.0,100.539,1.0,0.135,1.0,0.751,1.0,0.0744000277778,0.75,-12.289375,1.0,38.226875,1.0,-9999,-9999,-9999,-9999,-9999,-9999,14.6677083333,1.0,293.981041667,1.0,412.555,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.562,20.258,28.867,-9999,1.0,1.0,1.0,-9999,-4.11833,1.0,0.670297,1.0,0.607994,-9999,-9999,0.344507,0.157511,1.0,0.14287,-9999,-9999,0.818422,0.28453,0.270833,0.0517338,0.252911,0.291604,0.364071,0.979167,0.25,0.229167,0.107928,0.106802,0.147189,0.165303,-0.179849,-0.184809,-0.162635,-0.127483,0.374757,0.381588,0.440945,0.520625,0.259584,0.244068,0.259584,0.284694,-9999,-9999
20010122,-0.299,1.0,106.546,27.722,1.0,309.486,1.0,0.072,1.0,99.365,1.0,2.838,1.0,1.681,1.0,0.11818916129,0.645833333333,2.09104166667,1.0,73.593125,1.0,-9999,0.0,-9999,0.0,-9999,0.0,23.9497916667,1.0,311.166875,1.0,400.631,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.692,20.359,28.545,-9999,1.0,1.0,1.0,-9999,0.257083,1.0,0.0998692,1.0,0.0985596,-9999,-9999,0.414269,-3.86193,1.0,-3.50297,-9999,-9999,1.56454,-0.0364396,0.6875,0.0551137,-0.034545,0.00924307,0.0290023,0.6875,0.916667,0.666667,0.126877,0.0956275,0.179975,0.197791,0.165055,0.149663,0.18355,0.197879,0.478941,0.489295,0.522756,0.616725,0.429481,0.404626,0.429481,0.467424,-9999,-9999
