TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20040111,3.093,1.0,91.7444,34.814,1.0,303.685,0.0,0.905,1.0,96.675,0.0,5.6,1.0,3.205,1.0,0.23625,1.0,3.54104166667,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,380.137,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.76885,1.0,-0.0648813,1.0,-0.0754182,-9999,-9999,1.77385,-23.3119,1.0,-27.0978,-9999,-9999,1.71339,0.527389,1.0,0.122144,0.467701,0.514723,0.522883,1.0,1.0,1.0,0.697875,0.66942,0.684359,0.697875,0.170486,0.170486,0.184632,0.196057,1.05452,0.623578,0.869919,0.970657,0.314966,0.216591,0.254303,0.277299,-9999,-9999
20040112,3.308,1.0,92.9046,40.589,1.0,302.987,0.0,1.363,1.0,95.865,0.0,2.8,1.0,2.971,1.0,0.233541666667,1.0,4.966875,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,377.521,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.15125,1.0,11.7662,1.0,13.6771,-9999,-9999,1.97555,-11.6754,1.0,-13.5715,-9999,-9999,1.97093,0.468546,1.0,0.118398,0.461948,0.468546,0.475448,1.0,1.0,1.0,0.698448,0.666954,0.681816,0.698448,0.229902,0.213488,0.222781,0.229902,0.686468,0.586476,0.618003,0.626936,0.255747,0.222145,0.23111,0.247325,-9999,-9999
20040113,3.503,1.0,94.1218,9.247,1.0,317.016,0.0,0.875,1.0,94.99,0.0,2.7,1.0,3.511,1.0,0.268541666667,1.0,-2.28395833333,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,378.234,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.3725,1.0,9.91234,1.0,11.5221,-9999,-9999,1.80714,-17.116,1.0,-19.8957,-9999,-9999,1.4188,0.627708,1.0,0.117987,0.62108,0.629874,0.631409,1.0,1.0,1.0,0.702255,0.663793,0.686438,0.702255,0.0745471,0.0427132,0.0697537,0.0745471,0.47653,0.410881,0.439371,0.450507,0.0835092,0.0664309,0.0698979,0.0732193,-9999,-9999
20040114,3.41,1.0,95.3956,15.424,1.0,299.732,0.0,2.088,1.0,95.047,0.0,0.9,1.0,5.115,1.0,0.418541666667,1.0,-13.9058333333,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,371.991,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.922604,1.0,26.0143,1.0,30.239,-9999,-9999,1.98433,-24.2644,1.0,-26.629,-9999,-9999,1.95378,0.325181,1.0,0.119561,0.305861,0.32053,0.325181,1.0,1.0,1.0,0.697116,0.650971,0.684605,0.697116,0.371935,0.314156,0.346949,0.364075,0.445453,0.322648,0.42375,0.443285,0.139318,0.101602,0.131972,0.1375,-9999,-9999
20040115,1.084,1.0,96.726,7.072,1.0,305.386,0.0,0.495,1.0,95.626,0.0,7.8,1.0,3.39,1.0,0.197083333333,1.0,-1.95875,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,382.177,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.82771,1.0,6.75456,1.0,7.85151,3.71355,10.024,1.12301,-6.86729,1.0,-7.98255,-10.1913,-3.77553,1.48373,0.630565,1.0,0.1197,0.538985,0.608563,0.645603,1.0,1.0,1.0,0.617582,0.5749,0.607277,0.617582,-0.0129829,-0.0129829,-0.010819,0.0323195,0.385504,0.200917,0.366984,0.383247,0.0825971,0.0382605,0.0814987,0.0825971,-9999,-9999
20040116,2.07,1.0,98.1127,15.241,1.0,285.159,0.0,1.548,1.0,95.599,0.0,0.1,1.0,4.007,1.0,0.255625,1.0,-25.4447916667,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,373.722,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.615,1.0,12.8853,1.0,14.9779,7.08416,19.1223,1.81798,-28.9427,1.0,-33.6431,-42.9521,-15.9123,1.87287,0.450463,1.0,0.123955,0.426955,0.446969,0.450463,1.0,1.0,1.0,0.651341,0.617399,0.64397,0.655303,0.200878,0.194795,0.200878,0.228645,0.344669,0.212426,0.310816,0.320966,0.0961788,0.0659326,0.097277,0.0994386,-9999,-9999
20040117,3.063,1.0,99.5554,23.703,1.0,285.943,0.0,2.012,1.0,95.479,0.0,0.0,1.0,3.064,1.0,0.245,1.0,-16.056875,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,373.809,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.08104,1.0,11.3506,1.0,13.194,6.2404,16.8448,1.90108,-19.3519,1.0,-22.4947,-28.719,-10.6394,2.16766,0.45326,1.0,0.12479,0.41639,0.45326,0.454599,1.0,1.0,1.0,0.687411,0.655863,0.685129,0.701942,0.23415,0.23415,0.242388,0.277113,0.513129,0.410307,0.434247,0.437074,0.127921,0.107783,0.129749,0.130221,-9999,-9999
20040118,-1.531,1.0,101.054,9.594,1.0,295.044,0.0,0.46,1.0,97.176,0.0,2.1,1.0,1.702,1.0,0.159166666667,1.0,-5.47479166667,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,382.854,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.14312,1.0,2.71172,1.0,3.15211,1.49086,4.0243,0.918134,0.842083,1.0,0.978839,0.462965,1.24969,1.31694,0.568631,1.0,0.10974,0.503546,0.556883,0.568631,1.0,1.0,1.0,0.53877,0.524849,0.540101,0.55023,-0.029861,-0.0226874,-0.0108927,0.0373492,0.782136,0.620996,0.64606,0.675618,0.0633036,0.0530769,0.0628846,0.0634982,-9999,-9999
20040119,-2.293,1.0,102.609,16.593,1.0,288.641,0.0,0.816,1.0,96.779,0.0,8.8,1.0,4.195,1.0,0.315416666667,1.0,-1.56354166667,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,383.335,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.14562,1.0,10.6839,1.0,12.419,5.87383,15.8553,1.39066,-13.2046,1.0,-11.061,-19.5961,-7.25968,1.45547,0.684828,1.0,0.100438,0.674528,0.691814,0.717425,1.0,0.958333,1.0,0.523105,0.522428,0.532803,0.55816,-0.161723,-0.161723,-0.159011,-0.137845,0.921164,0.728588,0.751951,0.810508,0.0945459,0.0807571,0.0904925,0.0932593,-9999,-9999
20040120,-1.888,1.0,104.219,5.026,1.0,302.533,0.0,0.195,1.0,96.103,0.0,2.6,1.0,3.922,1.0,0.184375,1.0,-2.881875,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,380.339,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.55938,1.0,2.49761,1.0,2.90322,1.37315,3.70655,0.720216,-1.51938,1.0,-1.27272,-2.25481,-0.83533,0.935181,0.587667,1.0,0.116523,0.580622,0.588358,0.609196,1.0,1.0,1.0,0.544685,0.549128,0.562595,0.589718,-0.042982,-0.042982,-0.0290445,-0.0126568,0.90568,0.690272,0.744231,0.821651,0.0137044,0.00835208,0.011496,0.0119107,-9999,-9999
