TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20040111,8.11,0.0,82.8926,3.791,0.0,333.655,0.0,1.224,0.0,99.99,0.0,12.918,0.0,4.398,0.0,0.442105416667,1.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,387.816,0.291667,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,22.6014,0.208333,4.64688,-9999,-9999,-9999,-29.6919,1.0,-5.21441,-9999,-9999,-9999,0.78996,0.229167,-9999,0.765401,0.797572,0.797572,0.229167,0.229167,0.229167,3.88239,3.86375,3.90327,4.04706,3.22376,3.06618,3.14626,3.24247,0.820172,0.705609,0.81743,0.820174,0.146264,0.152893,0.153022,0.162202,-9999,-9999
20040112,5.526,0.0,84.0353,9.393,0.0,304.333,0.0,1.509,0.0,99.611,0.0,4.718,0.0,3.785,0.0,0.371448421053,0.791666666667,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,386.263,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,26.1989,0.0,4.70562,-9999,-9999,-9999,-29.8764,0.8125,-4.75912,-9999,-9999,-9999,0.585597,0.0,-9999,0.581482,0.587752,0.587752,0.0,0.0,0.0,3.48227,3.45824,3.50551,3.69678,3.10768,2.87048,2.93133,3.10768,0.783167,0.673772,0.780549,0.783169,0.35815,0.373956,0.374262,0.395644,-9999,-9999
20040113,6.406,0.0,85.2343,21.44,0.0,313.787,0.0,1.256,0.0,98.548,0.0,11.081,0.0,5.246,0.0,0.616774615385,0.541666666667,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,384.094,0.3125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,26.3564,0.3125,4.60165,-9999,-9999,-9999,-45.7261,0.5625,-6.53746,-9999,-9999,-9999,0.509389,0.291667,-9999,0.50543,0.509389,0.510507,0.291667,0.291667,0.291667,3.61809,3.59581,3.64132,3.81623,3.30572,3.09038,3.11284,3.30572,0.795927,0.68475,0.793267,0.795929,0.795188,0.828104,0.828736,0.870669,-9999,-9999
20040114,4.642,0.0,86.49,23.907,0.0,299.094,0.0,1.574,0.0,99.245,0.0,6.871,0.0,3.7,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,385.016,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,26.1803,0.0,4.43953,-9999,-9999,-9999,-44.1804,0.125,-5.60055,-9999,-9999,-9999,0.504519,0.0,-9999,0.500199,0.504519,0.506481,0.0,0.0,0.0,3.34674,3.32113,3.36796,3.57621,3.07101,2.82069,2.85676,3.07101,0.769924,0.662379,0.76735,0.769926,0.879536,0.915288,0.915971,0.960725,-9999,-9999
20040115,4.357,0.0,87.8023,23.971,0.0,302.159,0.0,1.341,0.0,99.99,0.0,3.519,0.0,3.795,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,385.012,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,25.8145,0.0,3.9561,-9999,-9999,-9999,-44.2121,0.0,-4.88813,-9999,-9999,-9999,0.499415,0.0,-9999,0.486104,0.497856,0.500974,0.0,0.0,0.0,3.30296,3.27681,3.32352,3.53749,3.03733,2.78188,2.80962,3.03733,0.765732,0.658772,0.763172,0.765734,0.885543,0.921869,0.922565,0.968434,-9999,-9999
20040116,5.476,0.0,89.1708,6.852,0.0,337.698,0.0,0.366,0.0,98.586,0.0,18.794,0.0,5.163,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,385.97,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,25.8077,0.0,3.53378,-9999,-9999,-9999,-36.8791,0.0,-3.30215,-9999,-9999,-9999,0.484705,0.0,-9999,0.474716,0.484705,0.485909,0.0,0.0,0.0,3.47465,3.45053,3.49777,3.68995,3.20431,2.9707,2.99326,3.20431,0.782405,0.673116,0.779789,0.782407,0.263739,0.275629,0.275861,0.29225,-9999,-9999
20040117,4.426,0.0,90.5951,9.101,0.0,327.434,0.0,0.505,0.0,99.466,0.0,9.036,0.0,4.171,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,395.144,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.1178,0.0,2.18723,-9999,-9999,-9999,-21.1199,0.0,-1.62988,-9999,-9999,-9999,0.552928,0.0,-9999,0.544587,0.552928,0.557641,0.0,0.0,0.0,3.31357,3.28755,3.33429,3.54687,2.99227,2.73595,2.76178,2.99227,0.766746,0.659644,0.764182,0.766748,0.348459,0.36398,0.364282,0.385451,-9999,-9999
20040118,2.256,0.0,92.0757,34.5,0.0,298.405,0.0,1.73,0.0,101.937,0.0,0.111,0.0,2.758,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,394.601,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,16.0119,0.0,1.67354,-9999,-9999,-9999,-14.6649,0.0,-0.823464,-9999,-9999,-9999,0.484145,0.0,-9999,0.486059,0.491148,0.496752,0.0,0.0,0.0,2.9853,2.95599,3.00136,3.25088,2.75798,2.4626,2.49595,2.75798,0.733138,0.630731,0.730687,0.73314,1.24513,1.29344,1.29436,1.35197,-9999,-9999
20040119,6.388,0.0,93.6126,1.282,0.0,353.237,0.0,0.274,0.0,100.867,0.0,25.382,0.0,4.043,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,397.039,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,14.1502,0.0,1.24797,-9999,-9999,-9999,-12.4637,0.0,-0.436377,-9999,-9999,-9999,0.603177,0.0,-9999,0.581477,0.603394,0.619527,0.0,0.0,0.0,3.61551,3.5932,3.63876,3.81388,3.20195,2.97979,3.01233,3.20195,0.795657,0.684517,0.792997,0.795659,0.0500264,0.0523529,0.0523985,0.0556918,-9999,-9999
20040120,3.691,0.0,95.2047,35.503,0.0,295.722,0.0,1.325,0.0,101.024,0.0,1.017,0.0,1.751,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,397.039,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,14.1502,0.0,1.01867,-9999,-9999,-9999,-12.4637,0.0,-0.234409,-9999,-9999,-9999,0.603177,0.0,-9999,0.581477,0.603394,0.619527,0.0,0.0,0.0,3.20349,3.17651,3.22271,3.44649,2.83456,2.5633,2.60087,2.83456,0.755047,0.64958,0.752523,0.755049,1.27913,1.32857,1.3295,1.38819,-9999,-9999
